game_id,season,game_date,matchup,home_team_id,away_team_id,home_pts,away_pts,margin,pace,h_efg,h_tov,h_oreb,h_ftr,h_fga,h_fgm,h_tpa,h_tpm,h_fta,h_ftm,h_oreb_n,h_dreb_n,h_tov_n,a_efg,a_tov,a_oreb,a_ftr,a_fga,a_fgm,a_tpa,a_tpm,a_fta,a_ftm,a_oreb_n,a_dreb_n,a_tov_n
1021700011,2017,2017-05-19,CHI vs. ATL,1611661329,1611661330,83.0,91.0,-8.0,79.1,0.429,0.124,0.4,0.221,77,30,19,6,17,0,16,15,12,0.597,0.165,0.464,0.299,67,37,19,6,20,0,13,24,15
1021700012,2017,2017-05-19,LAS vs. WAS,1611661320,1611661322,99.0,89.0,10.0,74.8,0.629,0.134,0.355,0.339,62,34,21,10,21,0,11,14,11,0.573,0.166,0.3,0.306,62,31,24,9,19,0,6,20,14
1021700013,2017,2017-05-20,IND vs. CON,1611661325,1611661323,81.0,79.0,2.0,76.0,0.449,0.112,0.185,0.475,59,25,13,3,28,0,5,20,9,0.524,0.208,0.333,0.242,62,30,14,5,15,0,10,22,18
1021700014,2017,2017-05-20,DAL vs. MIN,1611661321,1611661324,87.0,89.0,-2.0,85.2,0.524,0.178,0.188,0.435,62,31,13,3,27,0,6,19,16,0.454,0.185,0.367,0.508,65,27,18,5,33,0,11,26,18
1021700015,2017,2017-05-21,ATL vs. CHI,1611661330,1611661329,71.0,75.0,-4.0,83.2,0.382,0.118,0.211,0.333,72,25,20,5,24,0,8,29,11,0.436,0.16,0.31,0.286,70,29,10,3,20,0,13,30,15
1021700016,2017,2017-05-21,SEA vs. WAS,1611661328,1611661322,81.0,71.0,10.0,72.9,0.54,0.137,0.258,0.222,63,31,18,6,14,0,8,20,11,0.406,0.117,0.375,0.217,69,24,25,8,15,0,12,23,10
1021700017,2017,2017-05-23,MIN vs. CON,1611661324,1611661323,80.0,78.0,2.0,79.4,0.57,0.232,0.382,0.368,57,29,12,7,21,0,13,22,20,0.463,0.127,0.29,0.075,80,32,20,10,6,0,9,21,12
1021700018,2017,2017-05-23,PHO vs. NYL,1611661317,1611661313,67.0,69.0,-2.0,76.4,0.367,0.121,0.188,0.312,64,22,19,3,20,0,6,22,10,0.444,0.195,0.333,0.254,63,25,16,6,16,0,11,26,17
1021700019,2017,2017-05-24,CHI vs. WAS,1611661329,1611661322,67.0,82.0,-15.0,73.2,0.336,0.11,0.364,0.343,70,21,20,5,24,0,16,22,10,0.445,0.08,0.421,0.247,73,29,23,7,18,0,16,28,7
1021700020,2017,2017-05-24,IND vs. LAS,1611661325,1611661320,93.0,90.0,3.0,67.5,0.619,0.099,0.455,0.209,67,36,16,11,14,0,15,15,8,0.613,0.114,0.4,0.29,62,34,15,8,18,0,10,18,9
1021700021,2017,2017-05-25,SAN vs. DAL,1611661319,1611661321,82.0,94.0,-12.0,83.9,0.449,0.196,0.417,0.338,68,29,15,3,23,0,15,22,19,0.479,0.15,0.389,0.403,72,32,19,5,29,0,14,21,15
1021700022,2017,2017-05-26,CON vs. MIN,1611661323,1611661324,68.0,82.0,-14.0,75.0,0.43,0.145,0.25,0.25,64,25,12,5,16,0,9,18,12,0.455,0.163,0.471,0.379,66,27,16,6,25,0,16,27,15
1021700023,2017,2017-05-26,WAS vs. CHI,1611661322,1611661329,88.0,79.0,9.0,84.2,0.474,0.096,0.3,0.276,76,32,28,8,21,0,12,27,9,0.5,0.166,0.129,0.203,69,31,12,7,14,0,4,28,15
1021700024,2017,2017-05-26,SEA vs. NYL,1611661328,1611661313,87.0,81.0,6.0,77.2,0.508,0.118,0.222,0.508,61,24,28,14,31,0,8,31,10,0.455,0.087,0.311,0.167,78,31,23,9,13,0,14,28,8
1021700025,2017,2017-05-27,ATL vs. LAS,1611661330,1611661320,75.0,73.0,2.0,77.6,0.46,0.149,0.303,0.413,63,28,12,2,26,0,10,21,13,0.45,0.196,0.3,0.367,60,25,12,4,22,0,9,23,17
1021700026,2017,2017-05-27,PHO vs. DAL,1611661317,1611661321,107.0,65.0,42.0,78.6,0.568,0.094,0.455,0.378,74,36,25,12,28,0,20,21,9,0.354,0.163,0.323,0.415,65,21,21,4,27,0,10,24,15
1021700027,2017,2017-05-28,CHI vs. CON,1611661329,1611661323,79.0,97.0,-18.0,88.4,0.429,0.116,0.26,0.443,70,27,21,6,31,0,13,23,11,0.411,0.065,0.361,0.464,84,33,10,3,39,0,13,37,7
1021700028,2017,2017-05-28,SEA vs. IND,1611661328,1611661325,94.0,70.0,24.0,72.4,0.684,0.199,0.5,0.298,57,35,18,8,17,0,13,14,16,0.468,0.202,0.333,0.194,62,28,10,2,12,0,7,13,17
1021700029,2017,2017-05-28,MIN vs. SAN,1611661324,1611661319,80.0,66.0,14.0,76.4,0.466,0.09,0.368,0.216,74,33,18,3,16,0,14,16,8,0.509,0.266,0.238,0.236,55,26,9,4,13,0,5,24,22
1021700030,2017,2017-05-30,NYL vs. LAS,1611661313,1611661320,75.0,90.0,-15.0,77.6,0.523,0.202,0.371,0.182,66,30,21,9,12,0,13,17,18,0.54,0.13,0.261,0.435,62,31,16,5,27,0,6,22,11
1021700031,2017,2017-05-30,DAL vs. IND,1611661321,1611661325,89.0,62.0,27.0,75.9,0.516,0.137,0.4,0.422,64,30,14,6,27,0,14,28,12,0.379,0.196,0.243,0.29,62,22,18,3,18,0,9,21,17
1021700032,2017,2017-05-31,WAS vs. CON,1611661322,1611661323,78.0,76.0,2.0,79.6,0.4,0.104,0.229,0.431,65,23,19,6,28,0,8,30,9,0.455,0.109,0.268,0.143,77,30,17,10,11,0,11,27,10
1021700033,2017,2017-05-31,ATL vs. SAN,1611661330,1611661319,77.0,70.0,7.0,86.1,0.421,0.14,0.222,0.329,70,27,16,5,23,0,8,25,13,0.443,0.226,0.194,0.41,61,25,16,4,25,0,6,28,21
1021700034,2017,2017-06-01,CHI vs. PHO,1611661329,1611661317,91.0,99.0,-8.0,84.0,0.613,0.179,0.188,0.07,71,38,24,11,5,0,6,23,16,0.561,0.123,0.179,0.439,66,32,23,10,29,0,5,26,11
1021700035,2017,2017-06-02,NYL vs. DAL,1611661313,1611661321,93.0,89.0,4.0,83.7,0.537,0.167,0.367,0.397,68,34,17,5,27,0,11,33,16,0.471,0.109,0.214,0.371,70,29,22,8,26,0,9,19,10
1021700036,2017,2017-06-03,IND vs. DAL,1611661325,1611661321,91.0,85.0,6.0,77.8,0.492,0.071,0.242,0.477,65,31,12,2,31,0,8,25,6,0.463,0.114,0.265,0.373,67,28,19,6,25,0,9,25,10
1021700037,2017,2017-06-03,SAN vs. CON,1611661319,1611661323,77.0,85.0,-8.0,78.6,0.458,0.144,0.325,0.167,72,29,17,8,12,0,13,24,13,0.48,0.109,0.333,0.243,74,33,13,5,18,0,12,27,10
1021700038,2017,2017-06-03,SEA vs. MIN,1611661328,1611661324,77.0,100.0,-23.0,74.4,0.492,0.167,0.231,0.254,63,29,12,4,16,0,3,18,14,0.645,0.158,0.538,0.188,69,41,14,7,13,0,21,10,14
1021700039,2017,2017-06-04,NYL vs. PHO,1611661313,1611661317,88.0,72.0,16.0,87.1,0.44,0.11,0.118,0.478,67,29,13,1,32,0,4,32,10,0.391,0.159,0.179,0.333,69,24,17,6,23,0,7,30,15
1021700040,2017,2017-06-04,WAS vs. ATL,1611661322,1611661330,78.0,72.0,6.0,77.7,0.413,0.154,0.357,0.492,63,23,20,6,31,0,15,31,14,0.361,0.033,0.279,0.278,79,28,15,1,22,0,12,27,3
1021700041,2017,2017-06-06,DAL vs. WAS,1611661321,1611661322,89.0,101.0,-12.0,84.3,0.416,0.119,0.35,0.338,77,29,22,6,26,0,14,24,12,0.533,0.077,0.273,0.28,75,36,18,8,21,0,9,26,7
1021700042,2017,2017-06-06,SAN vs. SEA,1611661319,1611661328,76.0,85.0,-9.0,75.6,0.459,0.104,0.25,0.151,73,32,14,3,11,0,6,26,9,0.534,0.125,0.278,0.483,58,28,18,6,28,0,10,18,10
1021700043,2017,2017-06-06,LAS vs. CHI,1611661320,1611661329,58.0,53.0,5.0,80.1,0.375,0.079,0.212,0.625,64,22,13,4,40,0,7,25,7,0.446,0.21,0.324,0.231,65,27,13,4,15,0,12,26,19
1021700044,2017,2017-06-07,NYL vs. ATL,1611661313,1611661330,76.0,61.0,15.0,77.1,0.466,0.205,0.394,0.466,58,25,19,4,27,0,13,35,18,0.283,0.096,0.3,0.276,76,21,13,1,21,0,15,20,9
1021700045,2017,2017-06-07,IND vs. PHO,1611661325,1611661317,90.0,98.0,-8.0,85.3,0.45,0.217,0.3,0.6,60,26,8,2,36,0,9,23,21,0.553,0.151,0.303,0.439,66,33,25,7,29,0,10,21,14
1021700046,2017,2017-06-09,WAS vs. MIN,1611661322,1611661324,73.0,98.0,-25.0,73.5,0.46,0.176,0.4,0.254,63,26,20,6,16,0,14,19,15,0.599,0.091,0.387,0.118,76,40,23,11,9,0,12,21,8
1021700047,2017,2017-06-09,IND vs. SEA,1611661325,1611661328,83.0,80.0,3.0,70.6,0.508,0.098,0.345,0.308,65,32,9,2,20,0,10,23,8,0.551,0.129,0.258,0.322,59,28,23,9,19,0,8,19,10
1021700048,2017,2017-06-09,DAL vs. LAS,1611661321,1611661320,96.0,90.0,6.0,84.2,0.507,0.145,0.405,0.38,71,33,20,6,27,0,15,19,14,0.521,0.16,0.269,0.208,72,36,11,3,15,0,7,22,15
1021700049,2017,2017-06-10,CON vs. ATL,1611661323,1611661330,0.0,0.0,0.0,83.5,0.527,0.103,0.371,0.438,73,36,17,5,32,0,13,30,10,0.417,0.189,0.286,0.379,66,26,19,3,25,0,12,22,18
1021700050,2017,2017-06-10,SAN vs. CHI,1611661319,1611661329,81.0,85.0,-4.0,87.2,0.427,0.12,0.194,0.159,82,33,15,4,13,0,7,29,12,0.585,0.212,0.216,0.2,65,36,12,4,13,0,8,29,19
1021700051,2017,2017-06-10,PHO vs. LAS,1611661317,1611661320,87.0,89.0,-2.0,78.8,0.515,0.158,0.263,0.338,65,29,24,9,22,0,5,25,14,0.593,0.134,0.242,0.458,59,31,18,8,27,0,8,14,11
1021700052,2017,2017-06-11,NYL vs. SEA,1611661313,1611661328,94.0,86.0,8.0,81.0,0.486,0.075,0.24,0.365,74,33,19,6,27,0,6,33,7,0.514,0.154,0.327,0.229,70,31,23,10,16,0,16,19,14
1021700053,2017,2017-06-11,WAS vs. IND,1611661322,1611661325,88.0,70.0,18.0,77.7,0.53,0.116,0.296,0.364,66,30,21,10,24,0,8,35,10,0.441,0.099,0.103,0.162,68,29,12,2,11,0,4,19,8
1021700054,2017,2017-06-11,DAL vs. MIN,1611661321,1611661324,74.0,91.0,-17.0,80.0,0.408,0.128,0.167,0.354,65,25,17,3,23,0,6,18,11,0.569,0.145,0.357,0.153,72,38,14,6,11,0,10,30,13
1021700055,2017,2017-06-13,SEA vs. ATL,1611661328,1611661330,86.0,91.0,-5.0,85.2,0.462,0.159,0.3,0.455,66,28,26,5,30,0,12,19,15,0.5,0.173,0.345,0.324,71,32,21,7,23,0,10,28,17
1021700056,2017,2017-06-13,LAS vs. DAL,1611661320,1611661321,97.0,87.0,10.0,73.9,0.615,0.122,0.393,0.41,61,35,16,5,25,0,11,16,10,0.5,0.154,0.467,0.453,64,28,22,8,29,0,14,17,14
1021700057,2017,2017-06-14,CON vs. NYL,1611661323,1611661313,96.0,76.0,20.0,74.3,0.567,0.094,0.385,0.358,67,34,17,8,24,0,10,20,8,0.449,0.126,0.412,0.232,69,29,15,4,16,0,14,16,11
1021700058,2017,2017-06-15,IND vs. ATL,1611661325,1611661330,85.0,74.0,11.0,73.4,0.596,0.163,0.368,0.386,57,31,13,6,22,0,14,19,13,0.424,0.093,0.208,0.194,72,27,24,7,14,0,5,24,8
1021700059,2017,2017-06-15,LAS vs. SAN,1611661320,1611661319,80.0,75.0,5.0,74.9,0.5,0.161,0.273,0.482,56,27,12,2,27,0,9,19,13,0.485,0.153,0.269,0.164,67,30,18,5,11,0,7,24,13
1021700060,2017,2017-06-16,DAL vs. NYL,1611661321,1611661313,93.0,102.0,-9.0,87.5,0.455,0.111,0.235,0.338,77,31,22,8,26,0,8,26,11,0.536,0.133,0.35,0.471,70,34,16,7,33,0,14,26,13
1021700061,2017,2017-06-16,PHO vs. CHI,1611661317,1611661329,86.0,78.0,8.0,80.5,0.475,0.105,0.237,0.59,61,27,14,4,36,0,9,22,9,0.47,0.164,0.241,0.313,67,28,20,7,21,0,7,29,15
1021700062,2017,2017-06-17,MIN vs. CON,1611661324,1611661323,93.0,98.0,-5.0,80.7,0.562,0.141,0.308,0.222,72,37,16,7,16,0,8,13,13,0.622,0.178,0.581,0.135,74,41,22,10,10,0,18,18,17
1021700063,2017,2017-06-18,WAS vs. DAL,1611661322,1611661321,83.0,87.0,-4.0,78.7,0.477,0.084,0.212,0.385,65,29,16,4,25,0,7,23,7,0.471,0.122,0.281,0.382,68,28,21,8,26,0,9,26,11
1021700064,2017,2017-06-18,LAS vs. PHO,1611661320,1611661317,90.0,59.0,31.0,80.9,0.522,0.145,0.281,0.328,67,32,19,6,22,0,9,31,13,0.366,0.204,0.279,0.239,67,22,26,5,16,0,12,23,19
1021700065,2017,2017-06-18,CHI vs. IND,1611661329,1611661325,79.0,91.0,-12.0,76.7,0.588,0.219,0.368,0.281,57,31,14,5,16,0,7,24,18,0.481,0.045,0.314,0.15,80,37,12,3,12,0,11,12,4
1021700066,2017,2017-06-18,SEA vs. SAN,1611661328,1611661319,75.0,57.0,18.0,76.9,0.452,0.163,0.282,0.317,63,26,21,5,20,0,11,27,14,0.326,0.196,0.325,0.273,66,19,20,5,18,0,13,28,18
