season,game_id,team,team_id,FGA,FTA,TOV,OREB,PTS,poss,pace,ortg,ot_periods,game_minutes
2025_full,1022500181,CON,1611661323,68,22,13,6,78,83.0,83.0,93.98,0,40
2025_full,1022500181,NYL,1611661313,62,23,20,7,87,82.0,82.0,106.1,0,40
2025_full,1022500184,SEA,1611661328,68,15,14,6,74,80.0,80.0,92.5,0,40
2025_full,1022500184,IND,1611661325,67,13,16,5,78,81.0,81.0,96.3,0,40
2025_full,1022500182,CHI,1611661329,70,18,12,13,67,75.0,75.0,89.33,0,40
2025_full,1022500182,PHX,1611661317,73,14,9,14,83,74.0,74.0,112.16,0,40
2025_full,1022500180,ATL,1611661330,64,23,21,10,99,85.0,85.0,116.47,0,40
2025_full,1022500180,WAS,1611661322,63,20,22,6,83,85.0,85.0,97.65,0,40
2025_full,1022500185,NYL,1611661313,65,13,8,2,85,75.0,75.0,113.33,0,40
2025_full,1022500185,DAL,1611661321,78,16,7,15,76,74.0,74.0,102.7,0,40
2025_full,1022500188,PHX,1611661317,64,19,18,8,82,79.0,79.0,103.8,0,40
2025_full,1022500188,CON,1611661323,72,12,17,12,66,80.0,80.0,82.5,0,40
2025_full,1022500187,LAS,1611661320,66,15,11,7,100,73.0,73.0,136.99,0,40
2025_full,1022500187,IND,1611661325,77,13,4,10,91,75.0,75.0,121.33,0,40
2025_full,1022500189,SEA,1611661328,69,12,14,3,87,83.0,83.0,104.82,0,40
2025_full,1022500189,MIN,1611661324,70,26,15,9,91,82.0,82.0,110.98,0,40
2025_full,1022500186,CHI,1611661329,63,9,18,8,78,74.0,74.0,105.41,0,40
2025_full,1022500186,WAS,1611661322,65,15,11,7,64,74.0,74.0,86.49,0,40
2025_full,1022500190,GSV,1611661331,63,19,13,9,72,75.0,75.0,96.0,0,40
2025_full,1022500190,LVA,1611661319,60,25,13,9,78,74.0,74.0,105.41,0,40
2025_full,1022500193,PHX,1611661317,77,18,13,13,95,80.0,80.0,118.75,0,40
2025_full,1022500193,IND,1611661325,67,13,20,11,60,80.0,80.0,75.0,0,40
2025_full,1022500192,LAS,1611661320,62,26,14,6,102,77.0,77.0,132.47,0,40
2025_full,1022500192,CON,1611661323,80,15,9,14,91,76.0,76.0,119.74,0,40
2025_full,1022500191,CHI,1611661329,64,8,13,1,65,77.0,77.0,84.42,0,40
2025_full,1022500191,ATL,1611661330,62,25,11,5,86,77.0,77.0,111.69,0,40
2025_full,1022500196,LVA,1611661319,69,23,12,11,90,77.0,77.0,116.88,0,40
2025_full,1022500196,SEA,1611661328,67,21,7,4,86,78.0,78.0,110.26,0,40
2025_full,1022500194,DAL,1611661321,70,23,15,10,77,81.0,81.0,95.06,0,40
2025_full,1022500194,NYL,1611661313,67,16,10,5,88,79.0,79.0,111.39,0,40
2025_full,1022500195,MIN,1611661324,59,15,14,3,80,73.0,73.0,109.59,0,40
2025_full,1022500195,WAS,1611661322,63,9,18,10,76,71.0,71.0,107.04,0,40
2025_full,1022500198,IND,1611661325,70,19,7,11,92,71.0,71.0,129.58,0,40
2025_full,1022500198,CHI,1611661329,73,4,11,14,70,68.0,68.0,102.94,0,40
2025_full,1022500197,GSV,1611661331,61,10,13,6,72,70.0,70.0,102.86,0,40
2025_full,1022500197,LAS,1611661320,61,14,12,5,59,72.0,72.0,81.94,0,40
2025_full,1022500199,NYL,1611661313,66,9,18,9,71,76.0,76.0,93.42,0,40
2025_full,1022500199,MIN,1611661324,70,8,10,9,83,74.0,74.0,112.16,0,40
2025_full,1022500202,PHX,1611661317,69,14,12,9,66,72.0,72.0,91.67,0,40
2025_full,1022500202,ATL,1611661330,65,19,10,9,74,73.0,73.0,101.37,0,40
2025_full,1022500203,LVA,1611661319,71,21,15,11,94,77.0,77.0,122.08,0,40
2025_full,1022500203,CON,1611661323,70,2,12,3,86,79.0,79.0,108.86,0,40
2025_full,1022500201,LAS,1611661320,64,13,19,7,94,81.0,81.0,116.05,0,40
2025_full,1022500201,SEA,1611661328,78,9,14,12,91,82.0,82.0,110.98,0,40
2025_full,1022500200,DAL,1611661321,63,29,13,6,78,80.0,80.0,97.5,0,40
2025_full,1022500200,WAS,1611661322,59,26,17,6,91,78.0,78.0,116.67,0,40
2025_full,1022500204,GSV,1611661331,63,13,7,7,72,68.0,68.0,105.88,0,40
2025_full,1022500204,CON,1611661323,61,14,13,10,56,68.0,68.0,82.35,0,40
2025_full,1022500206,LAS,1611661320,77,19,7,11,97,80.0,80.0,121.25,0,40
2025_full,1022500206,NYL,1611661313,68,19,11,8,105,80.0,80.0,131.25,0,40
