player_name,poss,net_rapm,orapm,drapm,rapm_reconstructed,residual,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans
Karlie Samuelson,6214,1.32,-0.16,1.48,0.607,0.713,-0.007916336053534034,0.0038726918126179843,-0.040845015264980994,-0.006903848386969391,-0.0101697071498833,0.024429123390630025,0.0008542554079740139,-0.001380445533314456
Tiffany Hayes,8407,1.295,1.692,-0.397,1.504,-0.209,0.008941014950365367,-0.013989717697934612,-0.014047605246501338,-0.009072240702412998,0.002973030178083702,0.006828731908405661,0.012644970548124801,0.014931901489827482
Kayla Thornton,7650,1.284,-0.661,1.945,0.389,0.895,-0.01349096350049156,0.001032131199102504,0.023806278857542273,-0.005542103224047884,0.01842381759466294,-0.0017576359995345736,0.015421224072771522,0.005224329092996111
Damiris Dantas,2851,1.251,0.333,0.918,-0.306,1.557,0.011344575964319259,0.012286599430202022,-0.0006269568513198598,-0.00407165935858167,-0.026756284819961174,-0.005597903033660423,-0.03797683417965564,-0.015980610245442617
Nyara Sabally,3793,1.237,-0.459,1.696,0.48,0.757,-0.020098313379652955,-5.572637891812504e-05,0.013093785682982029,0.0018364220830919264,0.01728723558765677,0.009655981919273693,0.019544112754777132,0.00985412946201672
Monique Akoa Makani,2928,1.229,1.054,0.175,1.058,0.171,-0.01745536303565315,-0.013305349046994097,0.007097203046753098,0.004655057474785063,0.025094731650917412,0.006547371481230496,-0.007966546775296374,0.010025913727925273
Angel Reese,6571,1.202,0.642,0.561,-0.06,1.262,-0.012710332945704006,0.007630511778787014,0.08289238838677537,-0.012006152945361975,-0.0017773453348997048,-0.002798193219850559,-0.0009186890313426233,-0.015339402481910736
Lexie Brown,3550,1.155,0.956,0.2,-0.075,1.23,-0.004188348056638036,0.011932806803888002,-0.04177563006106175,0.002271740183830917,-0.004140741955748428,0.0010052933274592724,0.004743059328078059,-0.017120453017367365
Lucy Olsen,2878,1.149,0.413,0.736,-0.014,1.163,0.0073853847431084585,0.001471350445563152,0.005570042496364419,-0.01024838581369128,-0.020184843402966113,-0.005259129315174693,-0.01357138303509342,0.006597198688252731
Kadi Sissoko,1443,1.147,0.955,0.192,-0.566,1.713,0.018298017195398364,0.016803284247693867,0.008834808310771047,-0.027604404326070447,-0.022056147061070508,-0.02299444540124261,-0.016179765837755766,-0.017022773909822653
Sophie Cunningham,8748,1.089,-0.135,1.224,0.516,0.573,0.01058228298797581,0.0021202780795732956,-0.016188562659562422,-0.010252806152554472,0.00021176153712076928,-0.008731079211499349,-0.03015836209682715,-0.009585835481925764
Kiki Iriafen,4125,1.063,0.36,0.703,0.687,0.376,0.02401089382834365,0.021959816106980945,0.0004386442142812197,-0.019810845362058904,-0.006325144772756697,0.004538268979521809,0.034176740401103384,-0.0021691649150614722
Taylor Thierry,391,1.032,0.711,0.322,2.012,-0.98,0.004160411355290883,0.02168191217964266,0.04699209076772776,-0.025846844233023136,-0.0038881612766450413,0.05279262436250484,0.00795296417732716,-0.033452347141639915
